anio,sexo,entidad,casos_proteccion_atendidos,fecha
2017,mujer,Colima,1.0,2017-01-01
2018,hombre,Colima,,2018-01-01
2018,mujer,Colima,,2018-01-01
2019,hombre,Colima,3.0,2019-01-01
2019,mujer,Colima,0.0,2019-01-01
2020,hombre,Colima,,2020-01-01
2020,mujer,Colima,,2020-01-01
2021,hombre,Colima,,2021-01-01
2021,mujer,Colima,,2021-01-01
2022,hombre,Colima,,2022-01-01
2022,mujer,Colima,,2022-01-01
2023,hombre,Colima,,2023-01-01
2023,mujer,Colima,1.0,2023-01-01
2024,hombre,Colima,,2024-01-01
2024,mujer,Colima,1.0,2024-01-01
2025,hombre,Colima,,2025-01-01
2025,mujer,Colima,,2025-01-01
2010,hombre,Durango,,2010-01-01
2010,mujer,Durango,,2010-01-01
2011,hombre,Durango,1.0,2011-01-01
2011,mujer,Durango,0.0,2011-01-01
2012,hombre,Durango,2.0,2012-01-01
2012,mujer,Durango,0.0,2012-01-01
2013,hombre,Durango,,2013-01-01
2013,mujer,Durango,,2013-01-01
2014,hombre,Durango,1.0,2014-01-01
2014,mujer,Durango,0.0,2014-01-01
2015,hombre,Durango,,2015-01-01
2015,mujer,Durango,,2015-01-01
2016,hombre,Durango,2.0,2016-01-01
2016,mujer,Durango,0.0,2016-01-01
2017,hombre,Durango,,2017-01-01
2017,mujer,Durango,,2017-01-01
2018,hombre,Durango,1.0,2018-01-01
2018,mujer,Durango,0.0,2018-01-01
2019,hombre,Durango,,2019-01-01
2019,mujer,Durango,,2019-01-01
2020,hombre,Durango,3.0,2020-01-01
2020,mujer,Durango,,2020-01-01
2021,hombre,Durango,2.0,2021-01-01
2021,mujer,Durango,,2021-01-01
2022,hombre,Durango,1.0,2022-01-01
2022,mujer,Durango,,2022-01-01
2023,hombre,Durango,1.0,2023-01-01
2023,mujer,Durango,1.0,2023-01-01
2024,hombre,Durango,,2024-01-01
2024,mujer,Durango,,2024-01-01
2025,hombre,Durango,,2025-01-01
2025,mujer,Durango,,2025-01-01
2010,hombre,Edo Mexico,1.0,2010-01-01
2010,mujer,Edo Mexico,0.0,2010-01-01
2011,hombre,Edo Mexico,1.0,2011-01-01
2011,mujer,Edo Mexico,3.0,2011-01-01
2012,hombre,Edo Mexico,2.0,2012-01-01
2012,mujer,Edo Mexico,0.0,2012-01-01
2013,hombre,Edo Mexico,2.0,2013-01-01
2013,mujer,Edo Mexico,0.0,2013-01-01
2014,hombre,Edo Mexico,1.0,2014-01-01
2014,mujer,Edo Mexico,0.0,2014-01-01
2015,hombre,Edo Mexico,0.0,2015-01-01
2015,mujer,Edo Mexico,1.0,2015-01-01
2016,hombre,Edo Mexico,0.0,2016-01-01
2016,mujer,Edo Mexico,1.0,2016-01-01
2017,hombre,Edo Mexico,3.0,2017-01-01
2017,mujer,Edo Mexico,2.0,2017-01-01
2018,hombre,Edo Mexico,1.0,2018-01-01
2018,mujer,Edo Mexico,1.0,2018-01-01
2019,hombre,Edo Mexico,1.0,2019-01-01
2019,mujer,Edo Mexico,1.0,2019-01-01
2020,hombre,Edo Mexico,2.0,2020-01-01
2020,mujer,Edo Mexico,2.0,2020-01-01
2021,hombre,Edo Mexico,5.0,2021-01-01
2021,mujer,Edo Mexico,,2021-01-01
2022,hombre,Edo Mexico,3.0,2022-01-01
2022,mujer,Edo Mexico,,2022-01-01
2023,hombre,Edo Mexico,3.0,2023-01-01
2023,mujer,Edo Mexico,1.0,2023-01-01
2024,hombre,Edo Mexico,10.0,2024-01-01
2024,mujer,Edo Mexico,1.0,2024-01-01
2025,hombre,Edo Mexico,2.0,2025-01-01
2025,mujer,Edo Mexico,,2025-01-01
2010,hombre,Guanajuato,,2010-01-01
2010,mujer,Guanajuato,,2010-01-01
2011,hombre,Guanajuato,1.0,2011-01-01
2011,mujer,Guanajuato,0.0,2011-01-01
2012,hombre,Guanajuato,,2012-01-01
2012,mujer,Guanajuato,,2012-01-01
2013,hombre,Guanajuato,1.0,2013-01-01
2013,mujer,Guanajuato,1.0,2013-01-01
2014,hombre,Guanajuato,,2014-01-01
2014,mujer,Guanajuato,,2014-01-01
2015,hombre,Guanajuato,1.0,2015-01-01
2015,mujer,Guanajuato,1.0,2015-01-01
2016,hombre,Guanajuato,2.0,2016-01-01
2016,mujer,Guanajuato,0.0,2016-01-01
2017,hombre,Guanajuato,1.0,2017-01-01
2017,mujer,Guanajuato,2.0,2017-01-01
2018,hombre,Guanajuato,0.0,2018-01-01
2018,mujer,Guanajuato,1.0,2018-01-01
2019,hombre,Guanajuato,2.0,2019-01-01
2019,mujer,Guanajuato,2.0,2019-01-01
2020,hombre,Guanajuato,3.0,2020-01-01
2020,mujer,Guanajuato,,2020-01-01
2021,hombre,Guanajuato,,2021-01-01
2021,mujer,Guanajuato,1.0,2021-01-01
2022,hombre,Guanajuato,1.0,2022-01-01
2022,mujer,Guanajuato,,2022-01-01
